FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
01/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	01/01/20	93347	3	NOTAS CONTABLES	331565,49	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
01/01/20	39050001001	3	39	3905	390500	39050001	39050001001	GANANCIAS ACUMULADAS EJERCICIOS ANTERIORES	01/01/20	93347	3	NOTAS CONTABLES	0	331565,49	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
01/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	01/01/20	93348	3	NOTAS CONTABLES	0	331565,49	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
01/01/20	39050001001	3	39	3905	390500	39050001	39050001001	GANANCIAS ACUMULADAS EJERCICIOS ANTERIORES	01/01/20	93348	3	NOTAS CONTABLES	331565,49	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
31/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/20	88	18	CIERRES	0	37218,58	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/01/20	88	18	CIERRES	37218,58	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/20	88	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/20	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/01/20	88	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/01/20	2902	1	INGRESOS	0	585,84	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	TERAZO	1
31/01/20	13020501002	1	13	1302	130205	13020501	13020501002	FONDO COMUN ORDINARIO 2	31/01/20	2902	1	INGRESOS	585,84	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	TERAZO	1
31/01/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/01/20	2903	1	INGRESOS	0	36632,74	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	TERAZO	1
31/01/20	13020501005	1	13	1302	130205	13020501	13020501005	FONDO COMUN ORDINARIO 5	31/01/20	2903	1	INGRESOS	36632,74	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	TERAZO	1
29/02/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	29/02/20	89	18	CIERRES	0	26255,37	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
29/02/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	29/02/20	89	18	CIERRES	26255,37	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
29/02/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	29/02/20	2904	1	INGRESOS	0	437,28	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
29/02/20	13020501002	1	13	1302	130205	13020501	13020501002	FONDO COMUN ORDINARIO 2	29/02/20	2904	1	INGRESOS	437,28	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
29/02/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	29/02/20	2905	1	INGRESOS	1500,83	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
29/02/20	13020501005	1	13	1302	130205	13020501	13020501005	FONDO COMUN ORDINARIO 5	29/02/20	2905	1	INGRESOS	0	1500,83	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
29/02/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	29/02/20	2906	1	INGRESOS	0	27342,92	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
29/02/20	13020501005	1	13	1302	130205	13020501	13020501005	FONDO COMUN ORDINARIO 5	29/02/20	2906	1	INGRESOS	27342,92	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
29/02/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	29/02/20	2907	1	INGRESOS	24	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
29/02/20	13020501002	1	13	1302	130205	13020501	13020501002	FONDO COMUN ORDINARIO 2	29/02/20	2907	1	INGRESOS	0	24	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
31/03/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/03/20	2908	1	INGRESOS	0	153271,56	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
31/03/20	13020501005	1	13	1302	130205	13020501	13020501005	FONDO COMUN ORDINARIO 5	31/03/20	2908	1	INGRESOS	153271,56	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
31/03/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	31/03/20	2909	1	INGRESOS	2988,97	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
31/03/20	13020501002	1	13	1302	130205	13020501	13020501002	FONDO COMUN ORDINARIO 2	31/03/20	2909	1	INGRESOS	0	2988,97	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
31/03/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/03/20	2910	1	INGRESOS	0	2451,17	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
31/03/20	13020501002	1	13	1302	130205	13020501	13020501002	FONDO COMUN ORDINARIO 2	31/03/20	2910	1	INGRESOS	2451,17	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
31/03/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	31/03/20	2911	1	INGRESOS	186900,12	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
