FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
31/10/22	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/10/22	1	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/10/22	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/10/22	1	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
30/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	30/01/23	2	3	NOTAS CONTABLES	1150000000	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	ADICION POR CONSIGNACIÓN	YRAIGOSA	1
30/01/23	35050501001	3	35	3505	350505	35050501	35050501001	APORTES EN DINERO	30/01/23	2	3	NOTAS CONTABLES	0	1150000000	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	ADICION POR CONSIGNACIÓN	YRAIGOSA	1
31/01/23	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/23	5	18	CIERRES	0	420616,78	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/01/23	5	18	CIERRES	420616,78	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/23	5	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/01/23	5	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/01/23	2	1	INGRESOS	0	547176,29	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	2	1	INGRESOS	547176,29	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	YRAIGOSA	1
