MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2069	D	4862374,31			51080501001	POR DISMINUCION DEL VALOR RAZONABLE	CARGUE DE SALDOS INICIALES	110100	FA-5931 FIDEICOMISO SAUTARI   	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2064	D	250000000			35100501001	RESTITUCION DE APORTES	CARGUE DE SALDOS INICIALES	901388345	GOLD MINER D&P SAS	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2061	D	50062144			35100501001	RESTITUCION DE APORTES	CARGUE DE SALDOS INICIALES	31842	SUNGOLD INTERNATIONAL FZCO	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2054	D	33769,03			35101002009	COMISION FIDUCIARIA	CARGUE DE SALDOS INICIALES	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2050	D	15470000			16909501005	ANTICIPOS DE UTILIDADES	CARGUE DE SALDOS INICIALES	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2068	C	-15059605,16			39150001001	GANANCIA DEL EJERCICIO	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2066	D	2499578,46			51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	CARGUE DE SALDOS INICIALES	110100	FA-5931 FIDEICOMISO SAUTARI   	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2051	C	-13336426782,96			35050501001	APORTES EN DINERO	CARGUE DE SALDOS INICIALES	110100	FA-5931 FIDEICOMISO SAUTARI   	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2056	C	-3659279,2			39050001001	GANANCIAS ACUMULADAS EJERCICIOS ANTERIORES	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
110100	202408	31/08/24	1	906	NOTAS CONTABLES	2057	C	-22489625,11			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	CARGUE DE SALDOS INICIALES	110100	FA-5931 FIDEICOMISO SAUTARI   	A	UMIGRA1	31/08/24	31/08/2024 12:00:00
