FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
31/12/22	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/12/22	1	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/12/22	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/12/22	1	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
23/01/23	35050501001	3	35	3505	350505	35050501	35050501001	APORTES EN DINERO	23/01/23	8	1	INGRESOS	0	750500	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
23/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	23/01/23	8	1	INGRESOS	750500	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
23/01/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	23/01/23	9	1	INGRESOS	0	1301,76	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
23/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	23/01/23	9	1	INGRESOS	1301,76	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
23/01/23	35050501001	3	35	3505	350505	35050501	35050501001	APORTES EN DINERO	23/01/23	10	1	INGRESOS	0	760000	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
23/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	23/01/23	10	1	INGRESOS	760000	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
23/01/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	23/01/23	11	1	INGRESOS	0	1318,24	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
23/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	23/01/23	11	1	INGRESOS	1318,24	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
23/01/23	35050501001	3	35	3505	350505	35050501	35050501001	APORTES EN DINERO	23/01/23	12	1	INGRESOS	0	760000	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
23/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	23/01/23	12	1	INGRESOS	760000	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
23/01/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	23/01/23	13	1	INGRESOS	0	1318,24	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
23/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	23/01/23	13	1	INGRESOS	1318,24	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
31/01/23	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/23	3	18	CIERRES	0	13275,32	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/01/23	3	18	CIERRES	13275,32	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/23	3	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/01/23	3	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/01/23	14	1	INGRESOS	0	9337,08	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	14	1	INGRESOS	9337,08	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	YRAIGOSA	1
10/02/23	35050501001	3	35	3505	350505	35050501	35050501001	APORTES EN DINERO	10/02/23	15	1	INGRESOS	0	3030500	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
10/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	10/02/23	15	1	INGRESOS	3030500	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
10/02/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	10/02/23	16	1	INGRESOS	0	1740,1	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
10/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	10/02/23	16	1	INGRESOS	1740,1	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
16/02/23	35050501001	3	35	3505	350505	35050501	35050501001	APORTES EN DINERO	16/02/23	17	1	INGRESOS	0	455000	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
16/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	16/02/23	17	1	INGRESOS	455000	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RECAUDO DE FIDEICOMISOS	YRAIGOSA	1
16/02/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	16/02/23	18	1	INGRESOS	0	218,36	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
16/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	16/02/23	18	1	INGRESOS	218,36	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DIFERENTES A LOS BARRIDOS	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	1	2	EGRESOS	2760800	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4186 CAPITAL 2760800	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	1	2	EGRESOS	0	2760800	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4186 CAPITAL 2760800	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	1	62	CAUSACION DE PAGOS	0	2760800	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4186 CAPITAL 2760800	YRAIGOSA	1
22/02/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	22/02/23	1	62	CAUSACION DE PAGOS	2760800	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4186 CAPITAL 2760800	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	2	2	EGRESOS	0	4500	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC85-4186-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	2	2	EGRESOS	3781,51	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	COSTOS DE OPERACION  -FC85-4186-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	2	2	EGRESOS	718,49	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO COMISION IVA-FC85-4186-	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	2	62	CAUSACION DE PAGOS	0	396666	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4187 CAPITAL 396666	YRAIGOSA	1
22/02/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	22/02/23	2	62	CAUSACION DE PAGOS	396666	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4187 CAPITAL 396666	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	3	2	EGRESOS	396666	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4187 CAPITAL 396666	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	3	2	EGRESOS	0	396666	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4187 CAPITAL 396666	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	3	62	CAUSACION DE PAGOS	0	2380000	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4188 CAPITAL 2380000	YRAIGOSA	1
22/02/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	22/02/23	3	62	CAUSACION DE PAGOS	2380000	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4188 CAPITAL 2380000	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	4	2	EGRESOS	0	4500	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC85-4187-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	4	2	EGRESOS	3781,51	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	COSTOS DE OPERACION  -FC85-4187-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	4	2	EGRESOS	718,49	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO COMISION IVA-FC85-4187-	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	4	62	CAUSACION DE PAGOS	0	2760800	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4189 CAPITAL 2760800	YRAIGOSA	1
22/02/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	22/02/23	4	62	CAUSACION DE PAGOS	2760800	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4189 CAPITAL 2760800	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	5	2	EGRESOS	2380000	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4188 CAPITAL 2380000	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	5	2	EGRESOS	0	2380000	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4188 CAPITAL 2380000	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	6	2	EGRESOS	0	4500	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC85-4188-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	6	2	EGRESOS	3781,51	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	COSTOS DE OPERACION  -FC85-4188-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	6	2	EGRESOS	718,49	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO COMISION IVA-FC85-4188-	YRAIGOSA	1
22/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	22/02/23	7	2	EGRESOS	2760800	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4189 CAPITAL 2760800	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	7	2	EGRESOS	0	2760800	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC85-4189 CAPITAL 2760800	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	8	2	EGRESOS	0	4500	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC85-4189-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	8	2	EGRESOS	3781,51	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	COSTOS DE OPERACION  -FC85-4189-	YRAIGOSA	1
22/02/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	22/02/23	8	2	EGRESOS	718,49	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GASTO COMISION IVA-FC85-4189-	YRAIGOSA	1
22/02/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	22/02/23	8501	46	EGRESO SIN CHEQUE	11043,2	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	8501	46	EGRESO SIN CHEQUE	0	11043,2	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN PAGO A TERCEROS FC85-4186	YRAIGOSA	1
22/02/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	22/02/23	8502	46	EGRESO SIN CHEQUE	1586,66	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	8502	46	EGRESO SIN CHEQUE	0	1586,66	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN PAGO A TERCEROS FC85-4187	YRAIGOSA	1
22/02/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	22/02/23	8503	46	EGRESO SIN CHEQUE	9520	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	8503	46	EGRESO SIN CHEQUE	0	9520	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN PAGO A TERCEROS FC85-4188	YRAIGOSA	1
22/02/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	22/02/23	8504	46	EGRESO SIN CHEQUE	11043,2	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
22/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	22/02/23	8504	46	EGRESO SIN CHEQUE	0	11043,2	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	GRAVAMEN PAGO A TERCEROS FC85-4189	YRAIGOSA	1
28/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	28/02/23	1	3	NOTAS CONTABLES	15707989	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	ADCIONES DEL 09/02/2023 - NO CONTABILIZADAS	YRAIGOSA	1
28/02/23	35050501001	3	35	3505	350505	35050501	35050501001	APORTES EN DINERO	28/02/23	1	3	NOTAS CONTABLES	0	15707989	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	ADCIONES DEL 09/02/2023 - NO CONTABILIZADAS	YRAIGOSA	1
28/02/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	28/02/23	1	3	NOTAS CONTABLES	88829,37	0	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DE PPI DEL 09/02/2023 - NO CONTABILIZADOS	YRAIGOSA	1
28/02/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	28/02/23	1	3	NOTAS CONTABLES	0	88829,37	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMB	JURIDICA	RENDIMIENTOS DE PPI DEL 09/02/2023 - NO CONTABILIZADOS	YRAIGOSA	1
