MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1301	D	793973,65			59050001001	GANANCIAS	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1309	C	-982261,69			35100501001	RESTITUCION DE APORTES	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1300	C	-783885092,21			35050501001	APORTES EN DINERO	CARGUE DE SALDOS INICIALES	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMBIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1311	D	178397,14			51080501001	POR DISMINUCION DEL VALOR RAZONABLE	CARGUE DE SALDOS INICIALES	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMBIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1312	C	-793973,65			39150001001	GANANCIA DEL EJERCICIO	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1308	D	982261,69			16909501005	ANTICIPOS DE UTILIDADES	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1310	D	60658266			35101002009	COMISION FIDUCIARIA	CARGUE DE SALDOS INICIALES	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1313	C	-2031929,92			39050001001	GANANCIAS ACUMULADAS EJERCICIOS ANTERIORES	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1298	D	169713112			35100501001	RESTITUCION DE APORTES	CARGUE DE SALDOS INICIALES	900599869	MONERE CAPITAL SAS	A	UMIGRA	31/08/24	31/08/2024 12:00:00
111528	202408	31/08/24	1	906	NOTAS CONTABLES	1303	D	965061,1			51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	CARGUE DE SALDOS INICIALES	111528	FA-5999 FIDEICOMISO DE ADMINISTRACION Y PAGOS VIMARSA COLOMBIA	A	UMIGRA	31/08/24	31/08/2024 12:00:00
