MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
127817	202511	25/11/25	1	906	NOTAS CONTABLES	2	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-74864 - 170010001000000110037000000000 - /17180	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	1	906	NOTAS CONTABLES	1	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-74864 - 170010001000000110037000000000 - /17180	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	2	906	NOTAS CONTABLES	3	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-55647 - 170010001000000110020000000000 - /17181	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	2	906	NOTAS CONTABLES	4	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-55647 - 170010001000000110020000000000 - /17181	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	3	906	NOTAS CONTABLES	6	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-92794 - 170010001000000110039000000000 - /17182	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	3	906	NOTAS CONTABLES	5	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-92794 - 170010001000000110039000000000 - /17182	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	4	906	NOTAS CONTABLES	7	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-92727 - 1000000110036000000000 - /17183	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	4	906	NOTAS CONTABLES	8	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-92727 - 1000000110036000000000 - /17183	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	5	906	NOTAS CONTABLES	9	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-90477 - 170010001000000110031000000000 - /17184	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	5	906	NOTAS CONTABLES	10	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-90477 - 170010001000000110031000000000 - /17184	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	6	906	NOTAS CONTABLES	11	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-92804 - 170010001000000110036000000000 - /17185	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	6	906	NOTAS CONTABLES	12	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-92804 - 170010001000000110036000000000 - /17185	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	7	906	NOTAS CONTABLES	14	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-23631 - 1700100010000001100330000000 - /17186	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	7	906	NOTAS CONTABLES	13	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-23631 - 1700100010000001100330000000 - /17186	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	8	906	NOTAS CONTABLES	15	D	13758750			18010401001	EDIFICIOS	EDIFICACIONES/100-86627 - 170010001000000110030000000000 - /17187	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
127817	202511	25/11/25	8	906	NOTAS CONTABLES	16	C	-13758750			35051501001	APORTES EN ESPECIE	EDIFICACIONES/100-86627 - 170010001000000110030000000000 - /17187	127817	FA-6593 FIDEICOMISO ALTOS DEL TÍO CONEJO   	A	BBENITEZ	25/11/25	25/11/2025 12:00:00
