FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
01/01/20	39100001001	3	39	3910	391000	39100001	39100001001	PÉRDIDAS ACUMULADAS EJERCICIOS ANTERIORES	01/01/20	98	3	NOTAS CONTABLES	26056,08	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
01/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	01/01/20	98	3	NOTAS CONTABLES	0	26056,08	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
01/01/20	39100001001	3	39	3910	391000	39100001	39100001001	PÉRDIDAS ACUMULADAS EJERCICIOS ANTERIORES	01/01/20	99	3	NOTAS CONTABLES	0	26056,08	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
01/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	01/01/20	99	3	NOTAS CONTABLES	26056,08	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	TRASLADO UTILIDADES DEL EJERCIO	JCLAVIJO	1
31/01/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/01/20	50	1	INGRESOS	0	302,86	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	TERAZO	1
31/01/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/20	50	1	INGRESOS	302,86	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	TERAZO	1
31/01/20	11150504001	1	11	1115	111505	11150504	11150504001	BANCOLOMBIA	31/01/20	97	3	NOTAS CONTABLES	1,24	0	0			 ABONO INTERESES AHORROS	AESPEJO	1
31/01/20	41030501001	4	41	4103	410305	41030501	41030501001	DEPOSITOS A LA VISTA	31/01/20	97	3	NOTAS CONTABLES	0	1,24	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	 ABONO INTERESES AHORROS	AESPEJO	1
31/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/20	18	18	CIERRES	0	304,1	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/01/20	18	18	CIERRES	304,1	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/01/20	18	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/01/20	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/01/20	18	18	CIERRES	0	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
29/02/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	29/02/20	51	1	INGRESOS	0	226,06	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
29/02/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	29/02/20	51	1	INGRESOS	226,06	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
29/02/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	29/02/20	52	1	INGRESOS	12,41	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
29/02/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	29/02/20	52	1	INGRESOS	0	12,41	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
29/02/20	11150504001	1	11	1115	111505	11150504	11150504001	BANCOLOMBIA	29/02/20	100	3	NOTAS CONTABLES	1,16	0	0			 ABONO INTERESES AHORROS	AESPEJO	1
29/02/20	41030501001	4	41	4103	410305	41030501	41030501001	DEPOSITOS A LA VISTA	29/02/20	100	3	NOTAS CONTABLES	0	1,16	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	 ABONO INTERESES AHORROS	AESPEJO	1
29/02/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	29/02/20	19	18	CIERRES	0	214,81	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
29/02/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	29/02/20	19	18	CIERRES	214,81	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/03/20	20	18	CIERRES	276,79	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/03/20	20	18	CIERRES	0	276,79	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/03/20	20	18	CIERRES	276,79	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/03/20	20	18	CIERRES	0	276,79	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/03/20	53	1	INGRESOS	0	1267,16	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
31/03/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/03/20	53	1	INGRESOS	1267,16	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
31/03/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	31/03/20	54	1	INGRESOS	1545,19	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
31/03/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/03/20	54	1	INGRESOS	0	1545,19	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
31/03/20	11150504001	1	11	1115	111505	11150504	11150504001	BANCOLOMBIA	31/03/20	101	3	NOTAS CONTABLES	1,24	0	0			 ABONO INTERESES AHORROS	AESPEJO	1
31/03/20	41030501001	4	41	4103	410305	41030501	41030501001	DEPOSITOS A LA VISTA	31/03/20	101	3	NOTAS CONTABLES	0	1,24	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	 ABONO INTERESES AHORROS	AESPEJO	1
26/04/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	26/04/20	58	1	INGRESOS	0	424,45	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
26/04/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	26/04/20	58	1	INGRESOS	424,45	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
26/04/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	26/04/20	59	1	INGRESOS	235,89	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
26/04/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	26/04/20	59	1	INGRESOS	0	235,89	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
30/04/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	30/04/20	60	1	INGRESOS	0	112,24	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
30/04/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	30/04/20	60	1	INGRESOS	112,24	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
30/04/20	11150504001	1	11	1115	111505	11150504	11150504001	BANCOLOMBIA	30/04/20	103	3	NOTAS CONTABLES	1,2	0	0			 ABONO INTERESES AHORROS	YRAIGOSA	1
30/04/20	41030501001	4	41	4103	410305	41030501	41030501001	DEPOSITOS A LA VISTA	30/04/20	103	3	NOTAS CONTABLES	0	1,2	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	 ABONO INTERESES AHORROS	YRAIGOSA	1
30/04/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	30/04/20	21	18	CIERRES	0	302	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
30/04/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	30/04/20	21	18	CIERRES	302	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/05/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/05/20	62	1	INGRESOS	0	659,89	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	YRAIGOSA	1
31/05/20	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/05/20	62	1	INGRESOS	659,89	0	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	YRAIGOSA	1
31/05/20	11150504001	1	11	1115	111505	11150504	11150504001	BANCOLOMBIA	31/05/20	105	3	NOTAS CONTABLES	1,24	0	0			 ABONO INTERESES AHORROS	AESPEJO	1
31/05/20	41030501001	4	41	4103	410305	41030501	41030501001	DEPOSITOS A LA VISTA	31/05/20	105	3	NOTAS CONTABLES	0	1,24	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO	JURIDICA	 ABONO INTERESES AHORROS	AESPEJO	1
31/05/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/05/20	22	18	CIERRES	0	661,13	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/05/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/05/20	22	18	CIERRES	661,13	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
30/06/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	30/06/20	23	18	CIERRES	0	251,65	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
30/06/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	30/06/20	23	18	CIERRES	251,65	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
