MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1449	C	-491024662,5			35050501001	APORTES EN DINERO	CARGUE DE SALDOS INICIALES	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1450	C	-2908,45			39050001001	GANANCIAS ACUMULADAS EJERCICIOS ANTERIORES	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1454	D	976063000			18016001001	REVALUACIÓN PROPIEDAD PLANTA Y EQUIPO	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1457	D	247513000			35100501001	RESTITUCION DE APORTES	CARGUE DE SALDOS INICIALES	900545216	ALTOS DEL TIO CONEJO SAS   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1461	C	-4,88			41030501001	DEPOSITOS A LA VISTA	CARGUE DE SALDOS INICIALES	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1445	C	-976063000			38150501001	PROPIEDAD PLANTA Y EQUIPO	CARGUE DE SALDOS INICIALES	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1458	D	1050616,53			39100001001	PÉRDIDAS ACUMULADAS EJERCICIOS ANTERIORES	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1451	C	-148,53			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	CARGUE DE SALDOS INICIALES	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1459	D	25,4			51080501001	POR DISMINUCION DEL VALOR RAZONABLE	CARGUE DE SALDOS INICIALES	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1452	D	15957,19			11150504001	BANCOLOMBIA	CARGUE DE SALDOS INICIALES	03100016655	FG 447 FIDEICOMISO GARANTIA ALTOS DEL TIO CONEJO	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1444	D	9664905			35101002009	COMISION FIDUCIARIA	CARGUE DE SALDOS INICIALES	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1453	D	110070000			18010401001	EDIFICIOS	CARGUE DE SALDOS INICIALES	80240	FG-447 FIDEICOMISO GARANTÍA ALTOS DEL TIO CONEJO   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1460	C	-128,01			39150001001	GANANCIA DEL EJERCICIO	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1456	D	128,01			59050001001	GANANCIAS	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1447	C	-110070000			35051501001	APORTES EN ESPECIE	CARGUE DE SALDOS INICIALES	900545216	ALTOS DEL TIO CONEJO SAS   	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1448	D	5196			35100501001	RESTITUCION DE APORTES	CARGUE DE SALDOS INICIALES	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	A	MVELASCO	31/08/24	31/08/2024 12:00:00
80240	202408	31/08/24	1	906	NOTAS CONTABLES	1446	D	2350,24			13020501001	FONDO COMUN ORDINARIO 1	CARGUE DE SALDOS INICIALES	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MVELASCO	31/08/24	31/08/2024 12:00:00
